user_id,trajectory_id,visit_order,poi_id,timestamp
U001,T001,1,P001,2025-03-12 09:00:00
U001,T001,2,P002,2025-03-12 10:00:00
U001,T001,3,P003,2025-03-12 11:20:00
U001,T001,4,P004,2025-03-12 12:50:00
U001,T001,5,P001,2025-03-12 14:05:00
U002,T002,1,P001,2025-03-13 09:20:00
U002,T002,2,P002,2025-03-13 10:20:00
U002,T002,3,P003,2025-03-13 11:40:00
U002,T002,4,P004,2025-03-13 13:10:00
U002,T002,5,P001,2025-03-13 14:25:00
U003,T003,1,P001,2025-03-14 10:00:00
U003,T003,2,P002,2025-03-14 11:00:00
U003,T003,3,P003,2025-03-14 12:20:00
U003,T003,4,P004,2025-03-14 13:50:00
U003,T003,5,P001,2025-03-14 15:05:00
U004,T004,1,P005,2025-07-03 08:30:00
U004,T004,2,P006,2025-07-03 09:40:00
U004,T004,3,P007,2025-07-03 11:00:00
U004,T004,4,P008,2025-07-03 12:20:00
U004,T004,5,P005,2025-07-03 13:30:00
U005,T005,1,P005,2025-07-04 09:10:00
U005,T005,2,P006,2025-07-04 10:20:00
U005,T005,3,P007,2025-07-04 11:40:00
U005,T005,4,P008,2025-07-04 13:00:00
U005,T005,5,P005,2025-07-04 14:10:00
U006,T006,1,P005,2025-07-05 10:00:00
U006,T006,2,P006,2025-07-05 11:10:00
U006,T006,3,P007,2025-07-05 12:30:00
U006,T006,4,P008,2025-07-05 13:50:00
U006,T006,5,P005,2025-07-05 15:00:00
U007,T007,1,P009,2025-10-08 15:30:00
U007,T007,2,P010,2025-10-08 16:40:00
U007,T007,3,P011,2025-10-08 18:00:00
U007,T007,4,P012,2025-10-08 19:20:00
U007,T007,5,P009,2025-10-08 20:40:00
U008,T008,1,P009,2025-10-09 16:00:00
U008,T008,2,P010,2025-10-09 17:10:00
U008,T008,3,P011,2025-10-09 18:30:00
U008,T008,4,P012,2025-10-09 19:50:00
U008,T008,5,P009,2025-10-09 21:10:00
U009,T009,1,P009,2025-10-10 15:10:00
U009,T009,2,P010,2025-10-10 16:20:00
U009,T009,3,P011,2025-10-10 17:40:00
U009,T009,4,P012,2025-10-10 19:00:00
U009,T009,5,P009,2025-10-10 20:20:00
U010,T010,1,P013,2025-01-10 10:00:00
U010,T010,2,P014,2025-01-10 11:25:00
U010,T010,3,P015,2025-01-10 12:55:00
U010,T010,4,P016,2025-01-10 14:35:00
U010,T010,5,P013,2025-01-10 15:55:00
U011,T011,1,P013,2025-01-11 10:20:00
U011,T011,2,P014,2025-01-11 11:45:00
U011,T011,3,P015,2025-01-11 13:15:00
U011,T011,4,P016,2025-01-11 14:55:00
U011,T011,5,P013,2025-01-11 16:15:00
U012,T012,1,P013,2025-01-12 09:40:00
U012,T012,2,P014,2025-01-12 11:05:00
U012,T012,3,P015,2025-01-12 12:35:00
U012,T012,4,P016,2025-01-12 14:15:00
U012,T012,5,P013,2025-01-12 15:35:00
U013,T013,1,P001,2025-04-02 09:15:00
U013,T013,2,P003,2025-04-02 10:35:00
U013,T013,3,P010,2025-04-02 11:55:00
U013,T013,4,P009,2025-04-02 13:20:00
U013,T013,5,P001,2025-04-02 14:40:00
U014,T014,1,P001,2025-04-03 09:50:00
U014,T014,2,P003,2025-04-03 11:10:00
U014,T014,3,P010,2025-04-03 12:30:00
U014,T014,4,P009,2025-04-03 13:55:00
U014,T014,5,P001,2025-04-03 15:15:00
U015,T015,1,P001,2025-04-04 10:10:00
U015,T015,2,P003,2025-04-04 11:30:00
U015,T015,3,P010,2025-04-04 12:50:00
U015,T015,4,P009,2025-04-04 14:15:00
U015,T015,5,P001,2025-04-04 15:35:00
U016,T016,1,P005,2025-08-15 16:10:00
U016,T016,2,P007,2025-08-15 17:25:00
U016,T016,3,P011,2025-08-15 18:45:00
U016,T016,4,P006,2025-08-15 20:05:00
U016,T016,5,P005,2025-08-15 21:20:00
U017,T017,1,P005,2025-08-16 15:40:00
U017,T017,2,P007,2025-08-16 16:55:00
U017,T017,3,P011,2025-08-16 18:15:00
U017,T017,4,P006,2025-08-16 19:35:00
U017,T017,5,P005,2025-08-16 20:50:00
U018,T018,1,P005,2025-08-17 16:20:00
U018,T018,2,P007,2025-08-17 17:35:00
U018,T018,3,P011,2025-08-17 18:55:00
U018,T018,4,P006,2025-08-17 20:15:00
U018,T018,5,P005,2025-08-17 21:30:00
U019,T019,1,P013,2025-02-05 09:30:00
U019,T019,2,P015,2025-02-05 11:00:00
U019,T019,3,P010,2025-02-05 12:25:00
U019,T019,4,P003,2025-02-05 13:50:00
U019,T019,5,P013,2025-02-05 15:10:00
U020,T020,1,P013,2025-02-06 10:00:00
U020,T020,2,P015,2025-02-06 11:30:00
U020,T020,3,P010,2025-02-06 12:55:00
U020,T020,4,P003,2025-02-06 14:20:00
U020,T020,5,P013,2025-02-06 15:40:00
U021,T021,1,P013,2025-02-07 09:50:00
U021,T021,2,P015,2025-02-07 11:20:00
U021,T021,3,P010,2025-02-07 12:45:00
U021,T021,4,P003,2025-02-07 14:10:00
U021,T021,5,P013,2025-02-07 15:30:00
U022,T022,1,P002,2025-11-03 16:00:00
U022,T022,2,P004,2025-11-03 17:10:00
U022,T022,3,P012,2025-11-03 18:35:00
U022,T022,4,P011,2025-11-03 19:55:00
U022,T022,5,P002,2025-11-03 21:10:00
U023,T023,1,P002,2025-11-04 15:20:00
U023,T023,2,P004,2025-11-04 16:30:00
U023,T023,3,P012,2025-11-04 17:55:00
U023,T023,4,P011,2025-11-04 19:15:00
U023,T023,5,P002,2025-11-04 20:30:00
U024,T024,1,P002,2025-11-05 16:30:00
U024,T024,2,P004,2025-11-05 17:40:00
U024,T024,3,P012,2025-11-05 19:05:00
U024,T024,4,P011,2025-11-05 20:25:00
U024,T024,5,P002,2025-11-05 21:40:00
